Disease,Symptoms,Guidelines
acne,"Symptoms of acne?include open or closed comedones (blackheads and whiteheads), papules, pustules, nodules, and cysts. These lesions can result in pain, erythema, hyperpigmentation, and scarring.","For mild cases, over-the-counter topical treatments like benzoyl peroxide and retinoids (e.g., tretinoin) are often effective. For moderate to severe acne, a combination of topical treatments with oral antibiotics (e.g., doxycycline) or hormonal therapies (e.g., combination oral contraceptives) may be necessary. In severe cases, oral isotretinoin is highly effective but requires careful monitoring due to potential side effects."
hyperthyroidism,"Common symptoms include anxiety, insomnia, palpitations, unintentional weight loss, diarrhea, and heat intolerance. Physical examination may reveal a diffusely enlarged thyroid gland, stare, or exophthalmos in patients with Graves' disease. Patients with toxic nodules may experience local compression symptoms such as dysphagia, orthopnea, or voice changes.","Treating hyperthyroidism usually involves medications that reduce the amount of thyroid hormone your body makes, such as antithyroid drugs. Another option is radioactive iodine, which shrinks the thyroid gland. In some cases, surgery to remove part or all of the thyroid gland might be necessary. Beta-blockers are often used to help control symptoms like a fast heartbeat and anxiety while other treatments take effect."
aids,"Common symptoms include severe weight loss, chronic diarrhea, prolonged fever, and extreme fatigue. Additionally, individuals may develop opportunistic infections such as tuberculosis, severe bacterial infections, and fungal infections like cryptococcal meningitis. Other symptoms can include swollen lymph nodes, persistent cough, and skin rashes.","The primary treatment for AIDS is antiretroviral therapy (ART), which involves taking a combination of medications that help control the virus."
chronic cholestasis,"Common symptoms include persistent itching (pruritus), fatigue, jaundice (yellowing of the skin and eyes), dark urine, pale stools, and abdominal pain. Some people may also experience weight loss and vitamin deficiencies due to poor absorption of fat-soluble vitamins (A, D, E, and K).","Treatment for chronic cholestasis focuses on managing symptoms and preventing complications.?The first-line treatment is ursodeoxycholic acid (UDCA), which helps improve bile flow and liver function.?If UDCA is not effective, obeticholic acid may be added.?For itching, cholestyramine is often used, and if it doesn't work, medications like rifampin, naltrexone, or sertraline may be tried.?It's also important to maintain a healthy diet and take vitamin supplements if needed.?In severe cases, liver transplantation might be considered."
hypertension,"Symptoms of hypertension include headaches, dizziness, chest pain, and shortness of breath. Severe hypertension can lead to more serious symptoms like confusion, vision problems, and nosebleeds.","Eating a healthy diet low in sodium and rich in fruits and vegetables, exercising regularly, maintaining a healthy weight, and limiting alcohol intake. Common medications include thiazide diuretics, ACE inhibitors, angiotensin receptor blockers, and calcium channel blockers. "
hypoglycemia,"You might feel shaky, sweaty, or very hungry. Other signs include feeling irritable, confused, or having a fast heartbeat. Sometimes, you might feel weak, dizzy, or even have trouble seeing clearly. It's important to recognize these symptoms early to prevent more serious problems like fainting or seizures.",The best way to treat it is to eat or drink something with fast-acting sugar.?
arthritis,"Arthritis commonly presents with joint pain, stiffness, and swelling. These symptoms often worsen with activity and improve with rest. Patients may experience morning stiffness lasting more than 30 minutes, and in severe cases, joint deformity and loss of function can occur.","Treatment for arthritis aims to reduce pain, improve joint function, and prevent further damage. Initial management includes lifestyle modifications such as weight loss and exercise, which can significantly alleviate symptoms. Pharmacologic treatments often start with acetaminophen or nonsteroidal anti-inflammatory drugs (NSAIDs) for pain relief. For more severe cases, disease-modifying antirheumatic drugs (DMARDs) like methotrexate are used, especially in rheumatoid arthritis. Intra-articular corticosteroid injections can provide short-term relief for osteoarthritis flare-ups. Advanced cases may require surgical interventions such as joint replacement."
hepatitis b,"Symptoms of acute hepatitis B can include fatigue, poor appetite, nausea, vomiting, abdominal pain, low-grade fever, jaundice (yellowing of the skin and eyes), and dark urine.","For chronic hepatitis B, the goal is to reduce liver inflammation and prevent complications by suppressing the virus. First-line treatments include pegylated interferon alfa-2a, entecavir, and tenofovir, which help to suppress HBV DNA replication and improve liver health. The American Association for the Study of Liver Diseases recommends these treatments based on their efficacy and safety profiles."
migraine,"Migraine is a neurological disorder characterized by recurrent attacks of moderate to severe headache, often described as throbbing or pulsating. These headaches are typically accompanied by sensitivity to light and sound, nausea, and sometimes vomiting. Some individuals may experience visual disturbances known as aura before the headache begins. ","For mild to moderate migraines, over-the-counter medications like acetaminophen and NSAIDs (e.g., ibuprofen, naproxen) are often effective. For more severe migraines, triptans (e.g., sumatriptan, rizatriptan) are commonly used and are considered first-line treatments. Preventive treatments may be necessary for individuals with frequent or disabling migraines and can include medications like beta-blockers, antiepileptics, and CGRP antagonists."
urinary tract infection,"Common symptoms include a frequent need to urinate, a burning sensation when you pee, and feeling like you need to go urgently even if your bladder is not full. You might also experience pain in your lower abdomen or back. Sometimes, your urine may look cloudy or have a strong smell. If you notice blood in your urine, this can also be a sign of a UTI.",Treating a UTI usually involves taking antibiotics to kill the bacteria causing the infection.
diabetes,"Common signs include feeling very thirsty, needing to urinate often, and feeling extremely hungry even after eating. You might also feel very tired, have blurry vision, or notice that cuts and bruises heal slowly. Some people experience unexplained weight loss, tingling or numbness in their hands or feet, and frequent infections.","Healthy diet, regular physical activity, and maintaining a healthy weight are really important. Medications may include metformin, which helps control blood sugar levels, and other drugs that your doctor may prescribe based on your specific needs. Insulin therapy might be necessary for some people, especially if blood sugar levels are very high. Regular monitoring of blood sugar levels and follow-up visits with your healthcare team are crucial to ensure effective management and to prevent complications."
hepatitis d,"Symptoms can vary widely. Some people may not have any symptoms, while others may experience fatigue, jaundice (yellowing of the skin and eyes), abdominal pain, nausea, vomiting, and dark urine. Chronic infection can lead to more severe symptoms such as swelling of the abdomen due to fluid accumulation (ascites), easy bruising or bleeding, and confusion or drowsiness due to liver failure.","The main treatment is pegylated interferon alfa, which helps to reduce the virus in the body and improve liver function."
psoriasis,"Psoriasis  often presents with red, scaly patches, typically on the scalp, elbows, knees, and lower back. ","For mild cases, topical treatments such as corticosteroids, vitamin D analogues, and tazarotene are commonly used. For moderate to severe cases, systemic treatments including biologics and oral medications like methotrexate, cyclosporine, and apremilast are recommended. Biologics, which target specific parts of the immune system, have shown significant efficacy and include drugs like etanercept, adalimumab, and secukinumab. Phototherapy, using ultraviolet light, is another effective treatment option. Lifestyle modifications, such as maintaining a healthy weight, avoiding tobacco, and reducing alcohol intake, can also help manage the condition."
alcoholic hepatitis,"Common symptoms include jaundice (yellowing of the skin and eyes), fatigue, fever, and abdominal pain. Patients may also experience nausea, vomiting, and loss of appetite. In severe cases, symptoms can escalate to confusion, swelling in the abdomen due to fluid accumulation (ascites), and signs of liver failure such as bleeding and bruising easily. ","The cornerstone of treatment for alcoholic hepatitis is complete abstinence from alcohol. For mild cases, stopping alcohol use and providing nutritional support can lead to recovery. In more severe cases, corticosteroids like prednisolone are often used to reduce liver inflammation and improve short-term survival."
